stn_no,lat,long,Ave_NDVI,Rainfal
548,-5.864489,144.548868,0.805371,2540.75415
549,-5.781156,144.548868,0.806094,2477.669189
550,-5.697823,144.548868,0.851554,2499.39624
551,-5.614489,144.548868,0.861994,2607.793945
552,-5.531156,144.548868,0.896377,2726.516846
553,-5.448914,144.548868,0.87944,2845.898682
554,-5.364489,144.548868,0.850394,2940.533936
555,-5.281156,144.548868,0.751754,3011.889648
556,-5.197823,144.548868,0.850403,3049.008301
557,-5.114489,144.548868,0.863671,3076.786133
558,-5.031156,144.548868,0.898589,3133.888184
559,-4.947823,144.548868,0.889654,3197.741699
560,-4.864489,144.548868,0.858457,3267.534668
561,-4.781156,144.548868,0.873503,3313.036133
562,-4.697823,144.548868,0.890789,3321.718506
563,-4.614489,144.548868,0.882697,3270.110352
564,-4.031156,144.632202,0.867551,2909.132813
565,-4.114489,144.632202,0.870031,2858.698975
566,-4.197823,144.632202,0.891137,2816.5896
567,-4.281156,144.632202,0.870043,2825.5354
568,-4.364489,144.632202,0.891577,2916.016113
569,-4.447823,144.632202,0.870586,3049.428467
570,-4.531156,144.632202,0.871003,3202.401123
571,-4.614489,144.632202,0.8264,3343.835449
572,-4.697823,144.632202,0.881311,3447.471191
573,-4.781156,144.632202,0.869426,3461.153809
574,-4.864489,144.632202,0.870094,3365.112061
575,-4.947823,144.632202,0.861871,3250.645752
576,-5.031156,144.632202,0.880303,3168.530762
577,-5.114489,144.632202,0.876714,3132.1604
578,-5.197823,144.632202,0.860171,3124.975342
